Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), email)",Edge Chromium 124,,,05-05-2024 11:03:57,05-05-2024 11:03:57,0.180s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), password)",Edge Chromium 124,,,05-05-2024 11:03:57,05-05-2024 11:03:57,0.155s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:03:57,05-05-2024 11:03:58,0.974s,PASSED
"verifyElementText(findTestObject(""Login/Page_Dashboard/div_thongbaodangnhap""), message)",Edge Chromium 124,,,05-05-2024 11:03:58,05-05-2024 11:03:58,0.425s,FAILED
,,,,,,,
Test Cases/Login/Login_blank,Edge Chromium 124,Trường hợp đăng nhập với khoảng cách sau @,,05-05-2024 11:03:58,05-05-2024 11:04:09,10.873s,FAILED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:03:58,05-05-2024 11:04:02,3.121s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:04:02,05-05-2024 11:04:07,5.768s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:04:07,05-05-2024 11:04:07,0.100s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:07,05-05-2024 11:04:08,0.151s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:08,05-05-2024 11:04:08,0.742s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), ""trankhaiminh@ gmail.com"")",Edge Chromium 124,,,05-05-2024 11:04:08,05-05-2024 11:04:08,0.173s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), ""123456"")",Edge Chromium 124,,,05-05-2024 11:04:08,05-05-2024 11:04:09,0.136s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:09,05-05-2024 11:04:09,0.078s,PASSED
"verifyElementText(findTestObject(""Login/Page_Dashboard/div_thongbaodangnhap""), ""Đăng nhập thành công"")",Edge Chromium 124,,,05-05-2024 11:04:09,05-05-2024 11:04:09,0.525s,FAILED
,,,,,,,
Test Cases/Login/Login_emptyEmail,Edge Chromium 124,Trường hợp đăng nhập với email được bỏ trống,,05-05-2024 11:04:09,05-05-2024 11:04:20,10.914s,PASSED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:04:09,05-05-2024 11:04:12,2.680s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:04:12,05-05-2024 11:04:18,5.792s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:04:18,05-05-2024 11:04:18,0.101s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:18,05-05-2024 11:04:18,0.153s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:18,05-05-2024 11:04:19,0.769s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), """")",Edge Chromium 124,,,05-05-2024 11:04:19,05-05-2024 11:04:19,0.147s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), ""123456"")",Edge Chromium 124,,,05-05-2024 11:04:19,05-05-2024 11:04:19,0.145s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:19,05-05-2024 11:04:20,0.665s,PASSED
"verifyElementText(findTestObject(""Login/Page_ng nhp ti khon/span_Email""), ""Vui lòng nhập Email"")",Edge Chromium 124,,,05-05-2024 11:04:20,05-05-2024 11:04:20,0.067s,PASSED
closeBrowser(),Edge Chromium 124,,,05-05-2024 11:04:20,05-05-2024 11:04:20,0.310s,PASSED
,,,,,,,
Test Cases/Login/Login_emptyPassword,Edge Chromium 124,Trường hợp đăng nhập với mật khẩu được bỏ trống,,05-05-2024 11:04:20,05-05-2024 11:04:31,10.872s,PASSED
"openBrowser("""")",Edge Chromium 124,,,05-05-2024 11:04:20,05-05-2024 11:04:23,2.386s,PASSED
"navigateToUrl(""http://www.morricosmetics.somee.com/"")",Edge Chromium 124,,,05-05-2024 11:04:23,05-05-2024 11:04:24,1.321s,PASSED
maximizeWindow(),Edge Chromium 124,,,05-05-2024 11:04:24,05-05-2024 11:04:29,4.790s,PASSED
"click(findTestObject(""Login/Page_Trangchu/icon_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:29,05-05-2024 11:04:29,0.140s,PASSED
"click(findTestObject(""Login/Page_Trangchu/dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:29,05-05-2024 11:04:30,0.819s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Email""), ""trankhaiminh@gmail.com"")",Edge Chromium 124,,,05-05-2024 11:04:30,05-05-2024 11:04:30,0.175s,PASSED
"setText(findTestObject(""Login/Page_dangnhap/input_Password""), """")",Edge Chromium 124,,,05-05-2024 11:04:30,05-05-2024 11:04:30,0.113s,PASSED
"click(findTestObject(""Login/Page_dangnhap/button_dangnhap""))",Edge Chromium 124,,,05-05-2024 11:04:30,05-05-2024 11:04:31,0.691s,PASSED
"verifyElementText(findTestObject(""Login/Page_ng nhp ti khon/span_Password""), ""Vui lòng nhập mật khẩu"")",Edge Chromium 124,,,05-05-2024 11:04:31,05-05-2024 11:04:31,0.062s,PASSED
closeBrowser(),Edge Chromium 124,,,05-05-2024 11:04:31,05-05-2024 11:04:31,0.302s,PASSED
